subid,date,start_time,end_time,finished,mturkcode,characterL,characterR,condition,happy: characterL,depressed: characterL,fear: characterL,angry: characterL,calm: characterL,sounds: characterL,seeing: characterL,temperature: characterL,odors: characterL,depth: characterL,computations: characterL,thoughts: characterL,reasoning: characterL,remembering: characterL,beliefs: characterL,hungry: characterL,tired: characterL,pain: characterL,nauseated: characterL,safe: characterL,love: characterL,recognizing: characterL,communicating: characterL,guilt: characterL,disrespected: characterL,free_will: characterL,choices: characterL,self_restraint: characterL,intentions: characterL,goal: characterL,conscious: characterL,self_aware: characterL,desires: characterL,embarrassed: characterL,emo_recog: characterL,joy: characterL,morality: characterL,personality: characterL,pleasure: characterL,pride: characterL,CATCH: characterL,happy: characterR,depressed: characterR,fear: characterR,angry: characterR,calm: characterR,sounds: characterR,seeing: characterR,temperature: characterR,odors: characterR,depth: characterR,computations: characterR,thoughts: characterR,reasoning: characterR,remembering: characterR,beliefs: characterR,hungry: characterR,tired: characterR,pain: characterR,nauseated: characterR,safe: characterR,love: characterR,recognizing: characterR,communicating: characterR,guilt: characterR,disrespected: characterR,free_will: characterR,choices: characterR,self_restraint: characterR,intentions: characterR,goal: characterR,conscious: characterR,self_aware: characterR,desires: characterR,embarrassed: characterR,emo_recog: characterR,joy: characterR,morality: characterR,personality: characterR,pleasure: characterR,pride: characterR,CATCH: characterR,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,religion_buddhism,religion_christianity,religion_hinduism,religion_islam,religion_jainism,religion_judaism,religion_sikhism,religion_other,religion_none,religion_prefno,feedback,display_order1,display_order2
R_1ILPVhmgdc8WplU,1/9/16,5:00:01 PM,5:04:41 PM,1,324585174,robot,beetle,robot_beetle,6,2,5,5,3,7,1,1,5,3,1,3,2,7,2,6,2,3,3,6,6,7,6,6,3,3,4,5,4,5,7,3,1,5,4,6,2,4,7,2,5,1,2,3,2,4,5,3,2,1,6,4,6,5,2,4,7,7,4,5,4,4,4,3,1,4,4,3,2,4,7,2,4,2,1,3,5,7,1,7,7,5,1990,1,,,,,1,,,,,,,,,,,,,,1,,,FL_10,20|13|30|25|16|7|19|36|9|11|38|22|39|5|34|26|14|35|29|41|24|4|15|27|6|1|2|23|17|28|37|32|40|31|10|8|3|12|21|42|18
R_24kK3M8QZ0oMm0e,1/9/16,4:59:40 PM,5:04:45 PM,1,718249025,robot,beetle,robot_beetle,3,1,2,1,4,7,6,3,1,4,1,5,3,5,1,1,1,1,1,2,1,5,5,1,1,1,6,1,1,2,1,5,2,1,3,1,2,1,1,1,5,5,3,4,5,5,6,6,6,6,4,3,6,4,6,6,5,5,4,2,5,4,4,5,3,2,6,6,5,4,4,6,6,5,3,6,5,4,5,5,4,5,1985,1,,,,,,,,,1,,,1,,,,,,,,,No comments at this time.,FL_10,22|32|20|30|3|8|38|26|10|13|2|19|34|11|31|9|7|23|28|42|5|41|35|6|12|14|15|1|24|27|36|16|17|18|29|25|21|4|37|39|40
R_1oI0bLsC3OdKjjG,1/9/16,5:01:32 PM,5:05:06 PM,1,936046134,beetle,robot,beetle_robot,2,1,4,4,1,6,5,6,7,6,1,1,3,3,1,6,5,5,1,4,1,4,5,1,1,2,5,1,2,5,4,1,4,1,1,1,1,1,4,1,5,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1989,2,,,,,,,,,1,1,,1,,,,,,,,,Thank you!,FL_8,6|36|16|10|4|9|31|20|18|23|8|38|2|12|32|28|17|13|14|41|19|37|42|25|24|5|26|40|34|11|3|15|35|1|29|21|27|30|39|7|22
R_RDMwuTbMAEdhtaF,1/9/16,4:59:36 PM,5:05:08 PM,1,432343827,robot,beetle,robot_beetle,1,1,1,3,1,5,4,4,1,4,6,4,7,5,4,1,1,1,1,1,1,5,7,1,2,1,6,5,1,6,2,1,1,1,1,1,4,3,1,1,5,6,3,6,5,4,7,6,7,7,7,6,6,6,6,5,6,7,6,4,4,6,5,6,2,2,7,6,5,7,7,5,5,5,2,2,6,4,5,5,2,5,1962,2,,,,,,,,,1,,,,,,,,,,1,,Very interesting task. I am interested in bugs so I found this a nice change. / Happy New Year! / ,FL_10,31|11|30|37|35|21|32|1|15|3|26|36|27|4|38|22|13|17|2|29|10|25|39|14|6|42|18|20|28|16|7|34|40|9|5|12|41|24|19|8|23
R_1IMCdzwETTr9k7X,1/9/16,5:00:33 PM,5:05:08 PM,1,904799876,robot,beetle,robot_beetle,1,1,1,1,6,7,6,7,3,6,7,1,3,7,1,1,1,1,1,3,1,3,6,1,1,1,6,3,1,6,1,1,1,1,1,1,2,1,1,1,5,3,2,6,6,2,7,6,7,7,6,1,5,5,3,1,7,7,6,7,1,2,1,3,1,1,6,6,3,4,2,6,7,5,1,1,5,1,3,4,2,5,1963,1,,,,,,,,,1,,,,,,,,,,1,,,FL_10,39|34|38|16|19|1|41|4|13|29|37|22|20|7|14|35|30|28|42|12|18|9|31|26|27|21|5|3|23|36|40|32|10|11|17|8|24|15|25|6|2
R_zf0Mgtl1hzUe4bD,1/9/16,5:01:04 PM,5:05:09 PM,1,428348705,beetle,robot,beetle_robot,2,1,7,1,2,5,7,7,7,7,1,1,3,3,1,7,5,7,6,2,1,4,6,1,1,2,7,4,6,7,5,5,7,1,1,4,1,1,3,1,5,1,1,2,1,1,4,2,4,4,4,7,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,4,2,1,4,1,2,2,1,1,1,2,1,1,1,5,1983,2,1,,,,,,,,,,,,,,,,,,1,,,FL_8,27|30|32|3|22|34|24|38|28|19|7|23|29|42|25|2|16|37|9|4|21|13|10|11|18|26|1|6|35|20|5|36|41|40|12|14|8|15|39|17|31
R_2xPgR2fErmapuvm,1/9/16,5:01:14 PM,5:05:12 PM,1,275766370,robot,beetle,robot_beetle,1,1,1,1,1,6,7,7,2,4,7,2,4,5,1,1,1,1,1,2,1,6,6,1,1,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,5,6,2,6,6,4,7,7,6,7,6,3,6,3,5,1,7,3,7,4,5,3,7,7,1,2,5,5,2,6,5,5,4,5,1,2,4,1,3,7,2,5,1974,1,,,,,,,,,1,,,1,,,,,,,,,,FL_10,34|28|42|3|37|36|24|7|31|21|23|41|4|11|18|39|38|30|8|25|12|22|32|14|17|9|13|5|15|29|16|6|2|10|40|35|26|20|19|27|1
R_2pWwDXggwX3hrRZ,1/9/16,5:02:13 PM,5:05:12 PM,1,261834530,beetle,robot,beetle_robot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1990,1,,,,,,,,,1,,,,,,,,,,1,,,FL_8,16|13|30|1|2|21|31|28|8|6|32|22|11|12|5|26|29|41|14|36|34|10|17|23|19|3|7|27|38|35|42|39|24|15|20|18|40|9|4|37|25
R_2s6j7b06nRXDSDU,1/9/16,4:59:38 PM,5:05:16 PM,1,301793475,beetle,robot,beetle_robot,2,1,6,1,2,6,6,6,5,4,2,3,3,5,1,6,5,5,2,5,1,2,5,1,1,1,3,1,4,4,2,1,3,1,1,1,1,3,1,1,5,1,1,1,1,1,4,2,3,3,4,7,1,5,5,1,1,1,1,1,1,1,5,5,1,1,1,6,1,4,5,1,3,1,1,1,1,1,3,1,1,5,1987,2,,,,,,,,,1,,,,,,,,,,1,,No comments,FL_8,26|2|7|8|6|22|5|35|11|37|32|16|27|10|12|28|40|17|4|39|31|20|14|34|30|24|3|18|25|21|36|41|23|9|42|29|13|19|1|38|15
R_OsctLVbE9MEdByF,1/9/16,4:59:42 PM,5:05:16 PM,1,402062302,robot,beetle,robot_beetle,1,1,1,1,1,6,7,6,6,6,7,3,5,4,1,1,3,1,1,1,1,6,6,1,1,1,6,1,1,7,1,1,2,1,3,1,4,3,1,1,5,1,1,3,1,3,3,5,6,6,4,1,1,3,3,1,6,7,4,1,4,3,4,6,1,1,4,6,1,1,7,4,1,7,1,1,1,1,1,1,1,5,1985,2,,,,,,,,,1,,,,,,,,,,1,,,FL_10,9|1|12|35|34|36|41|17|37|30|21|7|2|26|25|38|10|23|8|42|32|24|13|11|22|5|6|4|29|20|19|27|16|39|31|18|28|40|15|14|3
