Time,Action,Data
2016/07/02 16:23:22,Create,"{u'description': u'Make judgments about the mental capacities of a variety of things. We are also running this study with children, and would like to know what adults think as a point of comparison.', u'title': u'Participate in a psychology study about mental capacities', u'url': u'https://stanford.edu/~kweisman/Dimkid/adult%20experiment/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 420, u'keywords': u'research, psychology, survey, science, mind', u'auto_approval_delay': u'5 minutes', u'reward': 0.3}"
2016/07/02 16:26:05,Expire,
